sentence,label
Mở bài hát Chúng ta của hiện tại,0
Viết một đoạn văn 5 chữ,1
Tìm bài báo mới nhất,2
Mạch điện là gì,1
Tìm những bài hát phù hợp với tâm trạng buồn,1
Đề xuất một câu chuyện ngắn cho tôi,1
Thông tin cập nhật về dịch COVID-19 gần đây nhất,2
Cho biết cách làm một bánh pizza đơn giản,1
Thiết lập một báo thức cho 7 giờ sáng ngày mai,1
Tìm hướng dẫn sử dụng ứng dụng,3
Phân biệt giữa diode và transistor,1
Tóm tắt nội dung của cuốn sách ngữ văn 7,1
Tìm kiếm hướng đi đến nhà hàng gần đây,1
Gợi ý một công việc vui nhộn để làm vào cuối tuần,1
Đọc bài báo về [tiêu đề bài báo],2
Cho tôi xem nội dung bài viết về [tiêu đề bài báo],2
Cập nhật tin tức mới nhất,2
Thông tin chi tiết về [sự kiện/tin tức cụ thể],2
Hiển thị danh sách các bài viết trong mục [phần mục hoặc chuyên mục],2
Tôi muốn đọc bài viết của tác giả [tên tác giả],2
Tìm kiếm bài viết có từ khóa [từ khóa],2
Cho xem những bài viết nổi bật,2
Tin tức thể thao mới nhất,2
Cập nhật tin tức về [lĩnh vực cụ thể],2
Tin tức kinh tế hôm nay,2
Bài viết nào đang hot nhất hiện nay?,2
Cập nhật về chính trị trong tuần này,2
Thông tin về sự kiện [tên sự kiện],2
Tin tức về thị trường chứng khoán,2
Bài viết nào được đánh giá cao nhất trong tháng qua?,2
Cập nhật về thời tiết trong khu vực của tôi,2
Thông tin về công nghệ mới nhất,2
Bài viết nào có liên quan đến y tế và sức khoẻ?,2
Tin tức về môi trường và bảo vệ động vật,2
Thông tin về [đối tượng/sự kiện/công ty] mới nhất,2
Đọc tin tức về [lĩnh vực/nhóm ngành] cụ thể,2
Bài viết nào nói về [chủ đề/nội dung] của tôi?,2
Cập nhật về các vấn đề xã hội hiện nay,2
Tin tức về nền kinh tế quốc tế,2
Bài viết nào có liên quan đến giáo dục và đào tạo?,2
Thông tin về các sự kiện văn hóa và nghệ thuật,2
Bài viết nào đang nổi bật trong ngày hôm nay?,2
Cập nhật về thế giới khoa học và công nghệ,2
Tin tức về thể thao trong tuần qua,2
Bài viết nào nói về [chủ đề/nội dung] trong tuần vừa rồi?,2
Tin tức về công nghệ đổi mới và khởi nghiệp,2
Thông tin về những bước tiến trong lĩnh vực y học?,2
Cập nhật về cuộc thi và giải thưởng nổi bật,2
Bài viết nào đề cập đến các vấn đề môi trường?,2
Tin tức về phát triển kinh tế tại khu vực [địa danh],2
Thông tin về những sự kiện nổi bật trong ngành [ngành nghề],2
Các bài viết về du lịch và khám phá địa điểm mới,2
Tin tức về các cuộc thi thể thao quốc tế,2
Bài viết nào đang gây chú ý trên mạng xã hội?,2
Tin tức về công nghệ đổi mới và khởi nghiệp,2
Tin tức về phát triển kinh tế tại khu vực [địa danh],2
Thông tin về những sự kiện nổi bật trong ngành [ngành nghề],2
Các bài viết về du lịch và khám phá địa điểm mới,2
Tin tức về các cuộc thi thể thao quốc tế,2
Tin tức về phát triển công nghệ trí tuệ nhân tạo,2
Thông tin về những sự kiện văn hóa và nghệ thuật đang diễn ra,2
Bài viết nào có liên quan đến những vấn đề về an ninh quốc gia?,2
Các tin tức về các sự kiện thể thao quốc tế đáng chú ý,2
Bài viết nào nói về những phát triển mới trong ngành y tế?,2
Tin tức về các cuộc thi và sự kiện âm nhạc,2
Bài viết nào đang được chia sẻ nhiều trên mạng xã hội?,2
Thông tin về những thành tựu trong lĩnh vực khoa học xã hội,2
Tin tức về các vấn đề môi trường và bảo vệ động vật,2
Bài viết nào cung cấp thông tin về các startup và doanh nghiệp mới nổi?,2
Tin tức về các phát triển trong lĩnh vực năng lượng tái tạo,2
Bài viết nào có liên quan đến việc giải quyết vấn đề biến đổi khí hậu?,2
Thông tin về các sự kiện quốc tế liên quan đến hòa bình và an ninh,2
Các tin tức về phát triển công nghiệp công nghệ thông tin và trí tuệ nhân tạo,2
Bài viết nào nói về sự phát triển của các loại hình công nghệ đang nổi bật?,2
Tin tức về các sự kiện văn hóa và nghệ thuật đang diễn ra trong nước,2
Thông tin về các dự án xây dựng và phát triển cơ sở hạ tầng ở khu vực [địa danh],2
Bài viết nào có liên quan đến việc tăng cường sự bảo vệ môi trường và động vật hoang dã?,2
Tin tức về sự phát triển của các ngành công nghiệp sáng tạo và văn hóa,2
Bài viết nào đang nhận được phản hồi tích cực từ cộng đồng đọc giả?,2
