play_music,user_manual,next_content,pre_content,end_of_content,middle_of_content,start_content,stop_content,restart_content,pause_content,resume_content,increase_volume,decrease_volume,default_volume,min_volume,max_volume,mute,un_mute,lastest_news,hottest_news,most_read_news,read_news
Mở bài hát Chúng ta của hiện tại,Tìm hướng dẫn sử dụng ứng dụng,Chuyển bài tiếp theo,Chuyển bài trước,Nhảy đến điểm cuối cùng của bài hát,Chuyển đến phần giữa của bài hát,Bật nhạc lên,Dừng bài hát,Bắt đầu lại bài hát,Tạm dừng bài hát,Tiếp tục bài hát,Tăng âm lượng lên một chút,Giảm âm lượng đi một chút,Hãy đưa âm lượng về mức trung bình,Vui lòng giảm âm lượng xuống mức thấp nhất,Hãy đưa âm lượng lên mức cao nhất,Tắt tiếng,Bật tiếng,Cập nhập những tin tức mới nhất,Cập nhập những tin tức nóng nhất,Cập nhập những tin tức được đọc nhiều nhất,Chọn cho tôi tin tức đầu tiên
Phát nhạc pop nổi tiếng nhất hiện nay,Ứng dụng của bạn có chức năng gì?,Phát bài tiếp theo,Phát bài trước,Xin vui lòng nhảy đến điểm cuối cùng của bài hát,Hãy chuyển đến phần giữa của bài hát,Bắt đầu đọc bản tin,Dừng phát nhạc,Quay lại điểm bắt đầu của bài hát,Hãy tạm dừng bài hát,Hãy tiếp tục bài hát,Nhấn mạnh âm lượng lên,Nhấn mạnh âm lượng xuống,Xin vui lòng chỉnh âm lượng về mức mặc định,Giảm âm lượng xuống cực thấp.,Tăng âm lượng lên tối đa.,Tắt âm đi.,Bật âm thanh lên.,Tìm kiếm tin tức mới nhất,Tìm kiếm tin tức nóng nhất,Tìm kiếm tin tức được đọc nhiều nhất,Tôi muốn đọc tin tức đầu tiên
Tìm bài hát ballad buồn nhất của năm ngoái,Làm cách nào để tôi bắt đầu sử dụng ứng dụng của bạn?,Hãy chuyển bài tiếp theo,Hãy chuyển bài trước,Chuyển đến cuối bài nghe nhạc,"Chuyển đến giữa bài viết, được không?",Mở nhạc và phát bài hát đầu tiên,Vui lòng dừng bài hát,Hãy bắt đầu lại bài hát,Tạm dừng đọc tin tức ngay lập tức.,Phát nhạc,Tăng âm lượng lên tối đa,Giảm âm lượng xuống tối thiểu,Mong bạn đưa âm lượng về trung bình,Đặt âm lượng ở mức thấp nhất.,Cho âm thanh to nhất có thể.,Làm im lặng đi.,Làm to tiếng nhạc.,1 số tin tức mới nhất,1 số tin tức nóng nhất,1 số tin tức được đọc nhiều nhất,Đọc tóm tắt của tin đầu tiên cho tôi
Nghe nhạc rock Việt chất lượng cao,Có hướng dẫn sử dụng ứng dụng không?,Bài hát tiếp theo,Trở lại,Cuối bài nhạc ngay,Lướt đến đoạn giữa của trang tin tức,Bắt đầu nội dung mới trong tin tức,Hãy dừng phát nhạc,Mong bạn quay lại điểm bắt đầu của bài hát,"Dừng lại, tôi muốn nghỉ một chút.",Tiếp tục,Hãy nâng âm lượng một chút lên,Vui lòng giảm âm lượng một chút đi,Hãy điều chỉnh âm lượng về mức mặc định,Âm lượng cực kỳ thấp.,Đặt âm lượng ở mức cao nhất.,Tắt tiếng báo giùm.,Cho tiếng to lên.,Tin tức mới nhất hôm nay là gì,Tin tức nóng nhất hôm nay là gì,Tin tức được đọc nhiều nhất hôm nay là gì,Chọn tin tức đầu tiên bạn tìm thấy
Tìm playlist nhạc EDM sôi động,Làm thế nào để đăng ký tài khoản trên ứng dụng của bạn?,Chuyển bài,Bài trước,Bỏ qua và chuyển đến phần kết thúc bài hát,Nhảy đến giữa bài hát,Chơi danh sách nhạc từ đầu đến cuối,Dừng nhạc,Phát lại,"Tạm dừng phát nhạc, làm ơn.",Đọc tiếp câu chuyện,Nhấn mạnh âm lượng lên nữa,Nhấn mạnh âm lượng xuống nữa,Đặt âm lượng ở mức trung bình.,Cho âm thanh thấp nhất.,Âm lượng cực kỳ cao.,Không cần tiếng báo nữa.,Bật nhạc lên.,Hãy cho tôi biết về tin tức mới nhất hôm nay,Hãy cho tôi biết về tin tức nóng nhất hôm nay,Hãy cho tôi biết về tin tức được đọc nhiều nhất hôm nay,"Tôi quan tâm đến tin tức đầu tiên, hãy đọc nó cho tôi"
Phát nhạc rap mới nhất của các nghệ sĩ nổi tiếng,Tôi có thể đăng nhập vào tài khoản của mình bằng cách nào?,Bài tiếp theo,Quay lại phần trước,Nhảy đến phần cuối khi đọc tin tức,Đến phần trung tâm của bản tin cho tôi,"Bắt đầu đọc bài viết, tôi muốn nghe",Dừng danh sách phát,Phát lại bài hát,Dừng lại ở đây trong bài hát.,"Tiếp tục đọc tin tức từ đây, được không?",Tăng âm lượng,Giảm âm lượng,Âm lượng vừa đủ.,Làm nhỏ âm lượng tới mức thấp nhất.,Làm to tiếng lên tới mức cao nhất.,Tắt tiếng nhạc.,Tăng âm lượng lên.,Hãy cho tôi biết về tin tức gần đây nhất hôm nay,Hãy cho tôi biết về tin tức nóng nhất hôm nay,Hãy cho tôi biết về tin tức được đọc nhiều nhất hôm nay,Cập nhật và chọn cho tôi tin tức đầu tiên
Nghe album nhạc jazz thư giãn,Ứng dụng của bạn có hỗ trợ ngôn ngữ nào?,Chuyển bài hát,Đọc lại phần trước,Chuyển đến cuối trang báo,Chuyển đến đoạn giữa của trang đọc,Mở nhạc và bắt đầu từ đầu danh sách,Tắt nhạc đi,"Bắt đầu lại bản tin từ đầu, làm ơn.","Ngừng đọc bản tin, tôi sẽ tiếp sau.",Hãy đọc tiếp nội dung của đoạn này.,"Tăng âm lượng lên một chút, làm ơn.",Giảm âm lượng xuống.,Đặt âm lượng ở mức trung bình vừa.,Đặt âm lượng ở mức cực thấp.,Đặt âm lượng ở mức cực cao.,Dừng tiếng nhạc lại.,Bật tiếng nhạc đi.,Cho tôi biết về tin tức gần nhất,Cho tôi biết về tin tức gần nhất,Cho tôi biết về tin tức được đọc nhiều nhất,Đọc đoạn mô tả của tin tức đầu tiên
Tìm bài hát hòa tấu guitar du dương,Làm cách nào để tìm kiếm nội dung trên ứng dụng?,Tiếp theo,Nghe lại phần trước,"Cuối bài, vui lòng",Nhảy đến nơi giữa bài hát đang phát,Bắt đầu phát nhạc từ đầu danh sách phát,"Dừng đọc bài viết, làm ơn.",Nghe lại bài hát từ đầu đi.,Tạm dừng đọc bài mới tại đây.,Nghe tiếp bài hát từ điểm dừng trước đó đi.,Lớn tiếng một chút khi đọc bài báo đi.,Nhỏ tiếng đi.,Âm lượng ở mức trung bình nhé.,Âm lượng nhỏ nhất có thể.,Âm lượng lớn nhất có thể.,Không cần tiếng nhạc nữa.,Làm to âm thanh nhạc.,Tìm kiếm tin gần đây nhất,Tìm kiếm tin nóng nhất,Tìm kiếm tin được đọc nhiều nhất,Chọn tin tức đầu tiên trong danh sách
Phát danh sách nhạc nhẹ nhàng để thư giãn buổi tối,Có chức năng tìm kiếm nâng cao không?,Sang phần tiếp theo,Trở về trang trước,Skip đến phần cuối cùng của bài hát,Lướt nhanh đến giữa đoạn tin tức,Mở tin tức và đọc từ đầu tới cuối,Ngừng phát nhạc ngay lập tức.,Bắt đầu lại đọc bài viết từ đầu.,Dừng lại và chờ lệnh mới.,Nghe tiếp bài hát từ đây nha.,"Tăng âm thanh lên một chút cho tôi, được không?",Làm nhỏ âm lượng đi.,Làm cho âm thanh ở mức trung bình.,Làm yếu tiếng đến mức thấp nhất.,Làm mạnh cường độ âm lượng tới mức cao nhất.,Im đi.,Bật tiếng nhạc ngay.,Cập nhập cho tôi tin tức mới đây,Cập nhập cho tôi tin tức nóng nhất,Cập nhập cho tôi tin tức được đọc nhiều nhất,Tôi muốn biết nội dung của tin tức đầu tiên bạn đã tìm thấy
Nghe nhạc phim nổi tiếng trong các bộ phim kinh điển,Làm cách nào để sắp xếp nội dung trên ứng dụng của bạn?,Đọc tiếp,Đọc lại đoạn vừa rồi,Nghe cuối bài nhạc,Chuyển đến phần trung tâm của nội dung,Bắt đầu nội dung mới,Tạm dừng nội dung tin tức.,Chơi lại nhạc từ đầu danh sách.,Tạm dừng nội dung ngay bây giờ.,Tiếp tục đọc đoạn kế tiếp đi.,Lớn tiếng lên một tí khi đang nghe nhạc.,Giảm âm thanh xuống.,Đặt âm lượng ở mức trung bình xíu.,Giảm cường độ âm lượng tới mức thấp nhất.,Tăng cường âm lượng tới mức cao nhất.,Tắt tiếng âm nhạc.,Tăng cường âm lượng.,Tìm hiểu về tin tức mới nhất,Tìm hiểu về tin tức nóng nhất,Tìm hiểu về tin tức được đọc nhiều nhất,Hãy đọc cho tôi tin đầu tiên trong danh sách
